index	name	pval	adj_pval	diff	t_statistic	se	df	avg_abundance	n_approx	n_obs
189	O00148	0.134200548	0.248243958	0.095680075	1.589803516	0.060183585	14	27.50277744	21	21
190	O00151	0.000217827	0.001299173	0.147588944	4.939089932	0.029881809	14	30.05003865	21	21
191	O00154;Q6ZUV0	0.000330347	0.00184065	0.282285021	4.717085054	0.059843106	14	27.22758881	21	21
192	O00161	0.49356975	0.665433902	0.153720717	0.703018707	0.218658075	14	24.15638317	18.90207253	19
193	O00165	0.7937209	0.939859012	-0.646264292	-0.266524233	2.424786241	14	20.9250945	7.001	6
194	O00170	0.061084211	0.136472639	0.185756779	2.036406673	0.091217919	14	26.66354866	21.00000019	21
195	O00178	0.698423662	0.866255161	0.08663257	0.395515628	0.219037034	14	25.0194523	21.00000073	21
196	O00182;Q6DKI2;Q3B8N2	0.093913818	0.190773272	0.399083959	1.797127712	0.222067668	14	24.10728457	19.86705027	20
197	O00186	0.967945717	0.979331221	0.045990026	0.040909529	1.124188595	14	21.60106313	14.08677974	14
198	O00193	0.002834633	0.011178118	0.35579914	3.611227393	0.09852582	14	25.38785776	21	21
199	O00203;Q13367	0.017525987	0.050993954	0.221891197	2.692089737	0.082423403	14	26.2113236	21	21
200	O00217	0.196048874	0.331174828	-0.228325799	-1.357674297	0.168174208	14	22.7224897	18.98878572	19
201	O00231	0.028845133	0.076342529	0.074640881	2.435347087	0.03064897	14	29.16644001	21.00000084	21
202	O00232	0.957066143	0.970976991	-0.002664841	-0.054807683	0.048621667	14	27.6747782	21	21
203	O00233	0.228257871	0.37209345	0.281080505	1.260029774	0.223074494	14	24.56453269	21	21
204	O00244	0.311475729	0.472752658	-0.148963295	-1.050068827	0.141860506	14	24.33225381	21	21
205	O00264	0.258057343	0.407985547	-0.211298403	-1.178975099	0.179222108	14	23.9786709	21	21
206	O00267	3.55E-05	0.00026851	0.686297808	5.950257791	0.115339172	14	26.10938303	21	21
207	O00273	0.125264764	0.235031536	0.149056845	1.630571064	0.09141389	14	26.5697138	21.00000055	21
208	O00291	0.195215941	0.330056435	0.685282709	1.360366131	0.503748729	14	22.09243707	15.13692917	15
209	O00299	0.000296604	0.001683303	0.163823254	4.774219637	0.034314143	14	29.2769071	21	21
210	O00303	0.007777902	0.0260417	0.124762226	3.10351466	0.040200302	14	27.86366606	21.00000001	21
211	O00329;P42338	0.205313097	0.34343622	0.149556748	1.328343178	0.112588938	14	23.49951044	21.00000001	21
212	O00330	0.020615098	0.058257758	0.685713851	2.608947292	0.262831623	14	21.72593436	16.07822883	16
213	O00410;O60518	0.077130676	0.164066605	0.071191533	1.90787506	0.037314567	14	29.70015521	21	21
214	O00411	0.294759902	0.453002027	1.197908805	1.088495838	1.100517579	14	22.24635398	7.005820623	7
215	O00422;O64644	0.000729683	0.003605838	0.304303562	4.302727937	0.070723403	14	26.66160827	21.00000033	21
216	O00425;Q9NZI8;Q9Y6M1;Q9M082;Q0WVH7	0.0113794	0.035653725	0.091662155	2.911545213	0.031482305	14	28.20214641	21	21
217	O00429	0.000554133	0.002856275	0.262283522	4.445529441	0.058999389	14	26.64999387	21	21
218	O00442	0.917637539	0.939859012	-0.130085148	-0.105292359	1.23546617	14	21.90787151	8.06242441	8
219	O00461	0.004361325	0.015942294	0.46317752	3.394386005	0.136453992	14	23.92016118	21.0000005	21
220	O00483	0.008312907	0.027485015	0.273245879	3.070015528	0.089004722	14	26.69846341	21.00000009	21
221	O00487	0.379221611	0.547642962	-0.084577453	-0.908042127	0.093142653	14	26.9909461	21	21
222	O00499	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
223	O00505	0.017723264	0.051513501	0.261524949	2.686370366	0.097352529	14	25.21740637	21	21
224	O00541;Q9LYK7;Q674R7	0.008678053	0.028455475	0.130601495	3.048356558	0.042843248	14	27.31075966	21.00000019	21
225	O00560	0.049816934	0.116698818	-0.204624213	-2.146757121	0.095317822	14	24.91205456	21	21
226	O00566	0.000934955	0.00444851	0.510776579	4.174981675	0.122342233	14	24.55096821	21.00000001	21
227	O00567	5.06E-06	4.90E-05	0.212219069	7.133582126	0.029749299	14	28.65981307	21.00000001	21
228	O00571;Q9NQI0;Q8GY84	0.000819519	0.003981866	0.129034352	4.242794486	0.030412586	14	29.44214713	21	21
229	O00625	0.106003567	0.20850271	-0.567760514	-1.727820246	0.328599295	14	23.21049449	17.85264215	18
230	O00629	0.25546644	0.406117372	0.14512296	1.185724594	0.122391794	14	25.83693808	21	21
231	O00743	0.144302725	0.262346928	0.243540068	1.546428565	0.157485495	14	25.25004736	21.00000002	21
232	O00754;M0QZ24;M0R2P5	0.014396869	0.043403485	-2.422648109	-2.792298503	0.867617881	14	23.27888231	15.92349654	16
233	O00762	0.067135317	0.146950266	0.339742315	1.984675211	0.171182828	14	23.45152765	17.88824792	18
234	O00764	0.014931848	0.044771145	0.23466132	2.773746497	0.084600853	14	25.98073035	21	21
235	O00767	0.665199917	0.834912344	0.067541075	0.442057143	0.152788109	14	23.82590592	19.97186749	20
236	O03042;P93292;F4INE2;REV__Q9FRK9;REV__O04658;O80674;P19086;Q7Z736	9.45E-06	8.51E-05	-2.076265036	-6.741529603	0.307981298	14	30.72540126	19.07607279	19
237	O04151	1.87E-07	2.64E-06	-2.686494533	-9.450100647	0.284282108	14	23.9459535	12.21871218	12
238	O04153	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
239	O04209	0.067270931	0.147109317	-3.010131862	-1.983565449	1.517535942	14	22.01893848	7.001	4
240	O04309	0.000616229	0.003122893	-0.700598166	-4.390287224	0.159579119	14	23.33423579	10.91766547	11
241	O04331;Q9LK25	0.222029024	0.363879065	-2.642626095	-1.278012691	2.067762012	14	22.65011178	7.001	6
242	O04450;Q67ZE4	0.055911813	0.127896899	-3.507172912	-2.084501887	1.682499275	14	22.08680574	7.001	5
243	O04487	7.00E-07	8.54E-06	-2.71128296	-8.470557581	0.320083174	14	23.31701395	12.27567231	12
244	O04496	0.028095185	0.074897817	-2.939349767	-2.449048971	1.200200487	14	22.06055558	6.338375873	6
245	O04499	1.55E-05	0.000129875	-2.695574033	-6.437431457	0.418734405	14	23.31311585	13.58858867	14
